,High,Low,Open,Volume,ln_close,sentiment,sentiment_missing,close_diff,simple_return,volatility,rsi14,bb_width,vol_roll5,log_return_l1,sentiment_l1,log_return_l3,sentiment_l3,close_l3,log_return_l5,sentiment_l5,close_l5,log_return_l10,sentiment_l10,close_l10,log_return_l252,sentiment_l252,close_l252,dow,month_sin,month_cos
rsi14,-0.1366871029140355,-0.1295253821664044,-0.13805405476667998,0.27385421345712563,-0.12262895702424216,-0.3314528026021811,0.08195380383190108,0.2966421401351912,0.33817550252160117,-0.016586335238135675,1.0,0.4719588494621956,-0.03543149830753692,0.3157564666412676,-0.3286618827363403,0.24681605412567642,-0.29637875232419714,-0.1789807854409786,0.21099147772011542,-0.2748280421462129,-0.20552239034524353,0.17168217895307855,-0.21001502311029144,-0.25745164246394364,0.10270503216231316,-0.15659636340152122,-0.180015627056158,-0.008736660637445482,0.44525484326710696,-0.056953159644519004
bb_width,-0.026740550796772785,-0.03371157281044434,-0.03061723407943159,0.27605262056208985,-0.04916953403784601,-0.3018821641863648,0.04117809645553198,0.04858420107292526,0.08036232591104692,0.4165715762442507,0.4719588494621956,1.0,0.347255275790636,0.11752607883921669,-0.30383604784713647,0.14679138558300853,-0.29848332538282457,-0.04273511869183924,0.1656820253544154,-0.28486464149127727,-0.056210155033936116,0.16987546474468262,-0.2447344457938894,-0.09452019799238863,0.04794856281426032,-0.19138265355418935,0.06442594630174758,0.01687060555291361,0.11910285112478139,-0.1087888061700905
vol_roll5,0.06351111795684077,0.04829296271327746,0.05640336520837156,0.3794040999133846,0.03899669558156178,-0.23471904021376108,0.012557008278087292,0.0400047305698487,0.1281518475824113,0.8757278077703828,-0.03543149830753692,0.347255275790636,1.0,0.0596015260727144,-0.2413825105570232,0.0331445668066142,-0.2395886722611378,0.05612454018018252,-0.11435359167051096,-0.25837410527679483,0.0609343202707247,-0.0008587833830689863,-0.2312728444608337,0.0733382197829877,0.022022864625391176,-0.1269542040303556,0.16990021528670546,0.011041810380440538,0.07002374050940216,-0.20632006101371606
log_return_l1,-0.03792822120254062,-0.03614280677636367,-0.03396230898242525,0.1282526732628436,-0.04765315438938308,-0.06318962023018794,0.008536497206018451,-0.056956681360017906,-0.03750239441833328,0.0766298440728686,0.3157564666412676,0.11752607883921669,0.0596015260727144,1.0,-0.025703050294659677,-0.013144136163983954,-0.009093796067479318,-0.08681391487455474,0.009666544317702629,-0.024984231554442144,-0.08596642820508815,0.048938556428709507,-0.006907376042209569,-0.08553049164162746,0.028060554460072884,-0.01914114562037745,-0.05492607568637872,0.03602207639191727,0.09590684142473616,0.01723622807039197
sentiment_l1,0.21361062828435678,0.22016590291428925,0.21751065221942945,-0.3172814193745051,0.2129074440428594,0.8326545452002084,-0.1486945452478271,-0.039777904561109766,-0.06134395426602622,-0.24551992497174502,-0.3286618827363403,-0.30383604784713647,-0.2413825105570232,-0.025703050294659677,1.0,-0.04751275446702752,0.7970007462962706,0.21963018114898217,-0.019573355511093342,0.7071290210159271,0.22281149316361054,-0.0886939906420778,0.5781454347431808,0.23492072888233623,-0.009747349208605574,0.4281580614685771,0.08709669131981433,0.041112927523014126,-0.3838478247739622,0.5518623277759604
log_return_l3,-0.03420170826064654,-0.033891956205091105,-0.0343417316048796,0.10397580573221603,-0.044469777166542365,-0.07714001969566536,0.0704873066467624,-0.04997555674537153,-0.06202998144716449,0.01458601455872805,0.24681605412567642,0.14679138558300853,0.0331445668066142,-0.013144136163983954,-0.04751275446702752,1.0,-0.02234184564051422,-0.029426563676147394,-0.014480752835796164,-0.005692954945764937,-0.08088575581843381,0.016475587927110187,-0.014825307889708811,-0.07893304462683981,0.06861996841134538,-0.006143220108876035,-0.03409126580904631,0.04219959745079165,0.09512889931041693,0.012840761679334149
sentiment_l3,0.21060270912625606,0.21822524758941145,0.21344581247248992,-0.30649189848756564,0.21034138310376269,0.7307872205277693,-0.20908758323603643,-0.005987212321296677,-0.03983803151771101,-0.2714188937300176,-0.29637875232419714,-0.29848332538282457,-0.2395886722611378,-0.009093796067479318,0.7970007462962706,-0.02234184564051422,1.0,0.21573239959797658,-0.0507487317109544,0.7962255775142248,0.21607052778009783,-0.09533451806599608,0.6141948857654871,0.2216516470765876,0.012033812081919388,0.41255822542813053,0.08127761702230213,-0.03120003783787693,-0.36290302169148836,0.554591291363017
close_l3,0.9955800182674169,0.9947764290334163,0.9955618140604842,-0.46010699539384486,0.9639327190548912,0.2217893535280287,-0.2845470400377023,-0.022790699357575092,-0.08535643207953884,0.06818854557268673,-0.1789807854409786,-0.04273511869183924,0.05612454018018252,-0.08681391487455474,0.21963018114898217,-0.029426563676147394,0.21573239959797658,1.0,-0.036093423485580624,0.21172969931477073,0.9963202214444773,-0.02286699258564183,0.2019627315045211,0.9878026816975535,0.07358471175374805,0.6409849763417429,0.8678355287980737,-0.017338068641213546,-0.347798013630058,-0.0004143791160910379
log_return_l5,-0.03946471746972216,-0.03925502300188625,-0.03833874532525715,0.037019744170630774,-0.05006755295409757,-0.07154498983453828,0.01650871775201795,-0.0443717311654669,0.0015391898426351087,0.009230850541448664,0.21099147772011542,0.1656820253544154,-0.11435359167051096,0.009666544317702629,-0.019573355511093342,-0.014480752835796164,-0.0507487317109544,-0.036093423485580624,1.0,-0.02554945523945269,-0.034991102393128394,0.0017029025315871919,-0.03544883459158971,-0.08580657767060484,0.007877293099951457,-0.018930476304740956,-0.033447235547334246,-0.029631374999058737,0.08101226103870117,-0.0005248886215873997
sentiment_l5,0.2080607616025165,0.21385182276831538,0.21157199034759333,-0.28210678022322777,0.20702860827840688,0.6790752893518451,-0.12964763956470562,-0.01070805260360809,-0.036824046656342174,-0.27315805636910323,-0.2748280421462129,-0.28486464149127727,-0.25837410527679483,-0.024984231554442144,0.7071290210159271,-0.005692954945764937,0.7962255775142248,0.21172969931477073,-0.02554945523945269,1.0,0.21207755654122143,-0.06378249989444444,0.678947032782543,0.21460328793220396,0.0378561465286413,0.3969196046290238,0.07871598156677219,0.011380352347251139,-0.34066809948774374,0.5582268112459668
